start_term,relative_term,active_students,cohort_size,retention_rate
2022FA,1,1518,1518,1.0
2022FA,2,1100,1518,0.7246376811594203
2022FA,3,825,1518,0.5434782608695652
2022FA,4,603,1518,0.3972332015810276
2022FA,5,463,1518,0.3050065876152832
2022FA,6,281,1518,0.1851119894598155
2022FA,7,207,1518,0.1363636363636363
2022FA,8,144,1518,0.0948616600790513
2023FA,1,2015,2015,1.0
2023FA,2,1455,2015,0.7220843672456576
2023FA,3,1082,2015,0.5369727047146402
2023FA,4,773,2015,0.3836228287841191
2023FA,5,548,2015,0.2719602977667494
2023FA,6,328,2015,0.1627791563275434
2023FA,7,234,2015,0.1161290322580645
2023FA,8,164,2015,0.0813895781637717
2023SP,1,1724,1724,1.0
2023SP,2,1227,1724,0.7117169373549884
2023SP,3,899,1724,0.521461716937355
2023SP,4,660,1724,0.382830626450116
2023SP,5,495,1724,0.287122969837587
2023SP,6,289,1724,0.1676334106728538
2023SP,7,215,1724,0.1247099767981438
2023SP,8,167,1724,0.0968677494199536
2023SU,1,1518,1518,1.0
2023SU,2,1101,1518,0.7252964426877471
2023SU,3,794,1518,0.5230566534914362
2023SU,4,579,1518,0.3814229249011858
2023SU,5,416,1518,0.2740447957839262
2023SU,6,254,1518,0.1673254281949934
2023SU,7,182,1518,0.1198945981554677
2023SU,8,127,1518,0.0836627140974967
2024FA,1,2720,2720,1.0
2024FA,2,1987,2720,0.7305147058823529
2024FA,3,1411,2720,0.51875
2024FA,4,1007,2720,0.3702205882352941
2024FA,5,720,2720,0.2647058823529412
2024FA,6,432,2720,0.1588235294117647
2024SP,1,2254,2254,1.0
2024SP,2,1656,2254,0.7346938775510204
2024SP,3,1207,2254,0.5354924578527063
2024SP,4,914,2254,0.4055013309671694
2024SP,5,679,2254,0.3012422360248447
2024SP,6,414,2254,0.1836734693877551
2024SP,7,314,2254,0.1393078970718722
2024SP,8,233,2254,0.1033717834960071
2024SU,1,1728,1728,1.0
2024SU,2,1258,1728,0.7280092592592593
2024SU,3,908,1728,0.5254629629629629
2024SU,4,663,1728,0.3836805555555556
2024SU,5,470,1728,0.2719907407407407
2024SU,6,275,1728,0.1591435185185185
2024SU,7,197,1728,0.1140046296296296
2025FA,1,6255,6255,1.0
2025FA,2,4608,6255,0.7366906474820144
2025FA,3,3385,6255,0.5411670663469225
2025SP,1,3024,3024,1.0
2025SP,2,2221,3024,0.734457671957672
2025SP,3,1613,3024,0.5333994708994709
2025SP,4,1219,3024,0.4031084656084656
2025SP,5,879,3024,0.2906746031746032
2025SU,1,2244,2244,1.0
2025SU,2,1626,2244,0.7245989304812834
2025SU,3,1181,2244,0.5262923351158645
2025SU,4,835,2244,0.3721033868092692
