course_id,enrollments,withdrawals,failed,completed_credits,attempted_credits,withdrawal_rate,failure_rate,credit_completion_rate,subject,course_level,credits,course_title
BUS100,2033,134,128,5487,6099,0.0659124446630595,0.0629611411706837,0.8996556812592228,BUS,100,3,BUS Applied Concepts 100
BUS200,1966,147,113,5244,5898,0.0747711088504577,0.0574771108850457,0.8891149542217701,BUS,200,3,BUS Applied Concepts 200
BUS300,2078,130,145,5613,6234,0.0625601539942252,0.0697786333012512,0.9003849855630414,BUS,300,3,BUS Applied Concepts 300
BUS400,1985,133,119,5379,5955,0.0670025188916876,0.0599496221662468,0.9032745591939546,BUS,400,3,BUS Applied Concepts 400
BUS500,2045,136,116,5520,6135,0.0665036674816625,0.056723716381418,0.8997555012224939,BUS,500,3,BUS Applied Concepts 500
BUS600,2107,151,146,5649,6321,0.0716658756525866,0.0692928334124347,0.893687707641196,BUS,600,3,BUS Applied Concepts 600
COM100,833,63,56,2241,2499,0.0756302521008403,0.0672268907563025,0.8967587034813925,COM,100,3,COM Applied Concepts 100
COM200,770,54,44,2061,2310,0.0701298701298701,0.0571428571428571,0.8922077922077922,COM,200,3,COM Applied Concepts 200
COM300,823,70,54,2166,2469,0.0850546780072904,0.0656136087484811,0.8772782503037667,COM,300,3,COM Applied Concepts 300
COM400,751,52,42,2025,2253,0.0692410119840213,0.0559254327563249,0.8988015978695073,COM,400,3,COM Applied Concepts 400
COM500,777,58,41,2100,2331,0.0746460746460746,0.0527670527670527,0.9009009009009008,COM,500,3,COM Applied Concepts 500
COM600,826,55,52,2220,2478,0.0665859564164648,0.0629539951573849,0.8958837772397095,COM,600,3,COM Applied Concepts 600
EDU100,1083,86,64,2880,3249,0.0794090489381348,0.0590951061865189,0.8864265927977839,EDU,100,3,EDU Applied Concepts 100
EDU200,1088,78,56,2940,3264,0.0716911764705882,0.0514705882352941,0.9007352941176472,EDU,200,3,EDU Applied Concepts 200
EDU300,1032,74,64,2787,3096,0.0717054263565891,0.0620155038759689,0.9001937984496124,EDU,300,3,EDU Applied Concepts 300
EDU400,1046,73,50,2841,3138,0.0697896749521988,0.0478011472275334,0.9053537284894836,EDU,400,3,EDU Applied Concepts 400
EDU500,1054,62,65,2874,3162,0.0588235294117647,0.0616698292220113,0.9089184060721064,EDU,500,3,EDU Applied Concepts 500
EDU600,1082,60,71,2952,3246,0.055452865064695,0.065619223659889,0.909426987060998,EDU,600,3,EDU Applied Concepts 600
ENG100,8067,785,758,20589,24201,0.0973100285112185,0.0939630593777116,0.850749969009545,ENG,100,3,ENG Applied Concepts 100
ENG200,7989,576,518,21372,23967,0.0720991363124295,0.0648391538365252,0.8917261234197021,ENG,200,3,ENG Applied Concepts 200
ENG300,7992,574,550,21390,23976,0.0718218218218218,0.0688188188188188,0.8921421421421422,ENG,300,3,ENG Applied Concepts 300
ENG400,8071,587,509,21597,24213,0.0727295254615289,0.063065295502416,0.8919588650724817,ENG,400,3,ENG Applied Concepts 400
ENG500,7988,557,470,21576,23964,0.0697295943915873,0.0588382573860791,0.900350525788683,ENG,500,3,ENG Applied Concepts 500
ENG600,8102,587,535,21594,24306,0.0724512466057763,0.0660330782522833,0.8884226117008146,ENG,600,3,ENG Applied Concepts 600
GEN100,8046,566,498,21636,24138,0.0703455132985334,0.0618941088739746,0.8963460104399702,GEN,100,3,GEN Applied Concepts 100
GEN200,8090,586,516,21696,24270,0.0724351050679851,0.0637824474660074,0.8939431396786156,GEN,200,3,GEN Applied Concepts 200
GEN300,8049,589,545,21540,24147,0.0731767921480929,0.0677102745682693,0.8920362777984843,GEN,300,3,GEN Applied Concepts 300
GEN400,8008,605,506,21372,24024,0.0755494505494505,0.0631868131868131,0.8896103896103896,GEN,400,3,GEN Applied Concepts 400
GEN500,7961,622,490,21252,23883,0.078130888079387,0.0615500565255621,0.8898379600552694,GEN,500,3,GEN Applied Concepts 500
GEN600,8048,575,489,21606,24144,0.0714463220675944,0.0607604373757455,0.8948807157057654,GEN,600,3,GEN Applied Concepts 600
HCA100,1184,129,98,2994,3552,0.1089527027027027,0.0827702702702702,0.8429054054054054,HCA,100,3,HCA Applied Concepts 100
