academic_year,program,student_terms,unique_students,attempted_credits,completed_credits,withdrawals,high_risk_student_terms,credit_completion_rate,next_term_persistence_rate
2022,Business Administration,389,389,3888,3489,85,11,0.8973765432098766,0.7403598971722365
2022,Communication,157,157,1569,1398,45,5,0.8910133843212237,0.732484076433121
2022,Education Studies,201,201,2001,1743,57,8,0.8710644677661169,0.6965174129353234
2022,Healthcare Administration,221,221,2214,2001,51,2,0.9037940379403794,0.7737556561085973
2022,Information Technology,277,277,2724,2394,67,5,0.8788546255506607,0.7075812274368231
2022,Psychology,273,273,2739,2442,71,7,0.891566265060241,0.6959706959706959
2023,Business Administration,2747,1589,27342,24522,652,67,0.8968619705946895,0.7309792500910084
2023,Communication,1110,642,11112,9900,284,22,0.8909287257019438,0.7288288288288288
2023,Education Studies,1472,829,14748,13125,371,37,0.8899511798209927,0.7384510869565217
2023,Healthcare Administration,1609,939,16104,14319,389,39,0.8891579731743666,0.7153511497824736
2023,Information Technology,1996,1145,19938,17781,507,36,0.8918146253385495,0.7354709418837675
2023,Psychology,2078,1213,20772,18543,503,40,0.8926920854997111,0.7237728585178056
2024,Business Administration,4652,2551,46131,40989,1159,103,0.8885348247382454,0.7274290627687017
2024,Communication,1866,1043,18690,16707,439,41,0.8939004815409309,0.7063236870310825
2024,Education Studies,2415,1329,23820,21312,553,50,0.8947103274559194,0.7200828157349897
2024,Healthcare Administration,2635,1443,26217,23316,660,58,0.889346607163291,0.7108159392789374
2024,Information Technology,3255,1825,32298,28806,786,67,0.8918818502693665,0.7115207373271889
2024,Psychology,3494,1883,34578,30936,835,74,0.8946729134131529,0.7392673153978249
2025,Business Administration,6996,4125,69234,61665,1738,152,0.8906751018285813,0.7101200686106347
2025,Communication,2720,1633,27252,24255,671,69,0.8900264200792602,0.7091911764705883
2025,Education Studies,3624,2189,36177,32310,870,76,0.8931088813334439,0.706953642384106
2025,Healthcare Administration,4036,2398,40416,36042,993,89,0.8917755344418052,0.7192765113974232
2025,Information Technology,4975,2989,49572,44145,1205,116,0.8905228758169934,0.7053266331658291
2025,Psychology,5284,3159,52707,47325,1244,110,0.8978883260288008,0.7100681302043906
2026,Business Administration,3573,2097,35454,31521,858,79,0.8890675241157556,0.703862660944206
2026,Communication,1425,842,14265,12684,360,38,0.8891692954784437,0.6923990498812351
2026,Education Studies,1924,1127,18897,16797,511,43,0.8888712494046674,0.707187222715173
2026,Healthcare Administration,2132,1265,21123,18804,515,37,0.8902144581735549,0.6853754940711463
2026,Information Technology,2602,1523,25794,22761,678,59,0.8824145150034892,0.7084701247537755
2026,Psychology,2786,1627,27834,24765,674,66,0.8897391679241216,0.7123540258143823
